ride_id,timestamp,driver_id,product,pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,is_surge,fare_usd
1,2025-01-20T12:34:23,698,UberXL,40.55191713517063,-73.90234134539918,40.89376688166289,-73.9668916468039,23.44,False,43.52
2,2025-04-03T17:04:16,667,UberXL,40.829687091981235,-74.02073973309602,40.655603676281736,-74.12337683619134,19.45,False,36.54
3,2025-02-15T02:13:28,548,UberX,40.88789499849785,-74.07122085103357,40.87643064007099,-74.07089508160752,23.07,False,42.87
4,2025-03-19T02:07:43,807,Black,40.61893530381132,-73.81294855935157,40.872747553532086,-74.0197398607095,1.9,True,14.0
5,2025-03-07T01:24:33,292,Black,40.91596680393283,-73.90551478239937,40.732747595526476,-73.7276477742166,21.43,False,40.0
6,2025-02-07T10:33:58,829,UberX,40.67235311582776,-73.82099634478605,40.789865575322416,-73.82663082194486,1.34,False,4.85
7,2025-02-27T06:54:45,582,UberXL,40.61493311812023,-73.76473407307695,40.88190582186007,-73.77785457862566,13.37,True,64.84
8,2025-02-05T21:08:34,144,Black,40.66973261793148,-74.03837881234979,40.646490552514216,-74.04401543623932,19.09,False,35.91
9,2025-02-28T15:10:10,597,Green,40.55423122165184,-73.85584248481841,40.80632437845642,-74.12204405068977,3.84,False,9.22
10,2025-03-20T17:22:42,703,Green,40.89154922516043,-73.75048936369568,40.834841187559526,-73.83936933016153,16.33,False,31.08
11,2025-03-13T08:52:43,630,UberXL,40.63107758234607,-74.08989404801144,40.606678658934996,-73.81351932328212,15.54,False,29.7
12,2025-04-17T15:37:05,935,Black,40.8302196936226,-73.78910225369899,40.85547329836199,-73.807163171013,17.33,False,32.83
13,2025-06-02T21:24:48,84,Green,40.7152967516737,-73.83330524367986,40.57889800719455,-73.89612407497694,2.48,False,6.84
14,2025-04-09T03:44:25,208,Green,40.74856425855641,-74.07595827953777,40.86615982273613,-73.95117175130316,17.33,False,32.83
15,2025-04-05T22:06:12,94,Green,40.71482859610927,-74.12496388737824,40.598819405733806,-73.9630589417699,14.53,False,27.93
